day_of_year,month,day,rises,sets
1,1,1,7.416666666666667,17.033333333333335
2,1,2,7.416666666666667,17.05
3,1,3,7.416666666666667,17.066666666666666
4,1,4,7.416666666666667,17.066666666666666
5,1,5,7.416666666666667,17.083333333333332
6,1,6,7.416666666666667,17.1
7,1,7,7.416666666666667,17.116666666666667
8,1,8,7.416666666666667,17.133333333333333
9,1,9,7.416666666666667,17.15
10,1,10,7.416666666666667,17.166666666666668
11,1,11,7.416666666666667,17.183333333333334
12,1,12,7.4,17.2
13,1,13,7.4,17.216666666666665
14,1,14,7.4,17.233333333333334
15,1,15,7.4,17.25
16,1,16,7.383333333333334,17.266666666666666
17,1,17,7.383333333333334,17.283333333333335
18,1,18,7.366666666666666,17.3
19,1,19,7.366666666666666,17.316666666666666
20,1,20,7.366666666666666,17.333333333333332
21,1,21,7.35,17.35
22,1,22,7.333333333333333,17.366666666666667
23,1,23,7.333333333333333,17.383333333333333
24,1,24,7.316666666666666,17.4
25,1,25,7.316666666666666,17.416666666666668
26,1,26,7.3,17.45
27,1,27,7.283333333333333,17.466666666666665
28,1,28,7.283333333333333,17.483333333333334
29,1,29,7.266666666666667,17.5
30,1,30,7.25,17.516666666666666
31,1,31,7.233333333333333,17.533333333333335
32,2,1,7.233333333333333,17.55
33,2,2,7.216666666666667,17.566666666666666
34,2,3,7.2,17.583333333333332
35,2,4,7.183333333333334,17.616666666666667
36,2,5,7.166666666666667,17.633333333333333
37,2,6,7.15,17.65
38,2,7,7.133333333333334,17.666666666666668
39,2,8,7.116666666666666,17.683333333333334
40,2,9,7.1,17.7
41,2,10,7.083333333333333,17.716666666666665
42,2,11,7.066666666666666,17.733333333333334
43,2,12,7.05,17.75
44,2,13,7.033333333333333,17.766666666666666
45,2,14,7.016666666666667,17.783333333333335
46,2,15,6.983333333333333,17.816666666666666
47,2,16,6.966666666666667,17.833333333333332
48,2,17,6.95,17.85
49,2,18,6.933333333333334,17.866666666666667
50,2,19,6.916666666666667,17.883333333333333
51,2,20,6.883333333333333,17.9
52,2,21,6.866666666666667,17.916666666666668
53,2,22,6.85,17.933333333333334
54,2,23,6.833333333333333,17.95
55,2,24,6.8,17.966666666666665
56,2,25,6.783333333333333,17.983333333333334
57,2,26,6.766666666666667,18.0
58,2,27,6.733333333333333,18.016666666666666
59,2,28,6.716666666666667,18.033333333333335
60,3,1,6.683333333333334,18.05
61,3,2,6.666666666666667,18.066666666666666
62,3,3,6.65,18.083333333333332
63,3,4,6.616666666666667,18.1
64,3,5,6.6,18.116666666666667
65,3,6,6.566666666666666,18.133333333333333
66,3,7,6.55,18.15
67,3,8,6.533333333333333,18.166666666666668
68,3,9,6.5,18.183333333333334
69,3,10,6.483333333333333,18.2
70,3,11,6.45,18.216666666666665
71,3,12,6.433333333333334,18.233333333333334
